template_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
b2739fbf,0.736032,-0.31684613,-0.5044251,0.24966452,-0.05083354,0.5624398,-0.46511176,-0.30244735,0.1632554,0.21129337,0.14298107,0.7700144,-0.54692173,-0.2864052,-0.3881364,-0.6263444,-0.033546682,0.22401583,0.40426508,0.11865936,0.15621836,0.5174988,-0.13962254,-0.0045089247,-0.00013921969,0.48121652,-0.20074975,0.45216745,0.10250492,0.45446938,0.01436305,0.29559574
0a52d6b7,0.08420567,-0.17615335,-0.028149426,0.024008341,-0.15371856,-0.15614974,-0.24736029,-0.35435328,-0.2736477,0.13836835,-0.32555857,0.16620864,0.15973063,-0.15692247,-0.11116058,-0.281389,-0.25791427,0.013857836,-0.07616462,0.034972094,-0.43891737,0.070890345,0.1616645,0.016862603,0.097893566,-0.16255875,-0.25187963,-0.0483675,0.23208119,0.12050468,0.055646077,0.014479606
1cf05be9,0.33857295,-0.0022508774,-0.108011685,0.031504948,0.71564925,-0.06227879,0.09519623,-0.03252917,-0.0014545469,0.36066964,-0.071918376,0.4198467,0.006421952,0.117539935,0.54106146,-0.08983699,-0.15056276,0.7912146,0.05740928,-0.16990153,-0.21242969,-1.0387132,-0.25713307,-0.8297981,0.07407972,0.731937,-0.5288616,0.4869098,0.0989066,-0.18972072,-0.073501244,0.056102972
fd02ca00,0.5083105,-0.08594309,-0.34417838,0.046997152,0.21783371,0.2286863,-0.11483676,-0.15965591,-0.09290731,0.18630494,-0.16401798,0.55225044,0.019179374,0.164637,0.19954264,-0.3149612,-0.11324362,0.6458905,0.43853277,-0.0068332367,-0.022406178,-0.07739592,0.058089584,-0.5580783,-0.09076467,0.4703942,-0.1979697,0.43407243,0.02675276,0.05362749,0.072690584,0.17237593
6309d070,0.25606218,-0.21890153,-0.34254378,-0.06820409,-0.041910492,0.25044242,-0.16761662,-0.11878665,-0.077452324,0.1996963,0.0860305,0.031291407,0.06244509,-0.30745786,-0.12149911,0.012317462,0.40257642,0.5728034,0.114641756,0.1918574,0.11572212,0.12174286,0.42272323,-0.16002774,0.27000913,-0.21067561,-0.5035066,-0.26352075,0.012240956,0.47683287,-0.07694306,-0.18422073
e6ed8ccf,0.23199728,-0.16445437,-0.020293174,-0.49020278,0.06700688,0.03013976,-0.2348385,-0.2633801,0.047018625,0.28710815,-0.2610983,0.11157695,-0.017649641,-0.12219268,-0.21652973,-0.4824365,-0.1759465,0.07364429,-0.029765774,0.09160245,-0.4021398,0.2298787,0.41112396,-0.49008206,0.14282839,-0.008053972,-0.1652974,0.075096615,0.1687576,0.17539036,0.028017573,0.048748333
0c7206b2,0.22567469,-0.13639462,0.013549703,-0.2898204,0.052187156,0.16678694,-0.08066712,-0.030417912,-0.31235093,0.24941735,0.24978353,-0.27872542,-0.038479198,0.1975027,0.18584892,-0.45438775,-0.36390212,0.2768799,-0.039292526,-0.05690299,-0.10313946,-0.20966266,0.11659221,0.84281915,-0.28166372,-0.53018904,-0.37489146,0.648061,-0.73568535,0.28434384,0.2446998,0.46201783
a8fb8d16,0.26792672,0.032888416,0.10367278,-0.37929443,0.04049474,-0.36781585,-0.21714994,-0.31622812,-0.3183033,0.33321607,-0.38702565,0.06274924,0.10941944,-0.03274524,-0.110053025,-0.57856566,-0.31713203,0.10357135,-0.19210552,-0.03291984,-0.67984253,0.15981571,0.45871052,-0.12507616,0.18450816,-0.20988506,-0.0681928,-0.034294803,0.062416185,0.06609439,0.13906056,-0.034680646
4c2da2e3,0.4836385,0.022103079,-0.4265617,0.056691453,0.21978313,-0.29257855,-0.10103987,0.004685733,-0.91644657,0.14192718,0.08493795,0.3450731,0.20175603,-0.93142074,0.05621801,-0.3857828,-0.68743116,0.6581298,0.09114911,-0.2783654,-0.9175746,0.16057508,0.41124016,0.31540376,0.47861916,0.22346078,-0.031984832,0.15390235,0.04469037,-0.19210954,-0.4466351,-0.23463175
1d5f5b9f,0.29695043,-0.009296107,-0.016561542,-0.08613857,-0.20573734,-0.5432184,-0.2734333,-0.5139496,-0.5828859,0.28408167,-0.18857637,-0.14548399,0.31580037,-0.1421502,-0.13509405,-0.5204676,-0.21616316,0.10169326,-0.41969785,-0.045201417,-0.66985804,0.17025213,0.49612647,0.1375308,0.31811053,-0.10167295,-0.10583851,-0.12002768,0.07576798,-0.03743104,0.06613867,-0.14750174
